round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor
1,-0.4437721,0.91075,-0.436893732,0.90225,1.1,100,20,<class 'keras.optimizers.Adam'>,80,<function selu at 0x00000229C8B63EA0>,100,0
1,-0.457981521,0.91325,-0.452494811,0.904,6.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function elu at 0x00000229C8B63E18>,100,1
1,-0.460013308,0.91325,-0.453101712,0.8975,3.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function relu at 0x00000229C8B740D0>,300,2
1,-0.461819728,0.9255,-0.452799572,0.91575,6.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function relu at 0x00000229C8B740D0>,300,0
1,-0.457634533,0.92725,-0.449059651,0.9125,1.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,100,2
1,-0.442913766,0.92875,-0.435840143,0.922,3.1,100,50,<class 'keras.optimizers.RMSprop'>,80,<function relu at 0x00000229C8B740D0>,200,2
1,-0.392316355,0.93025,-0.387228642,0.92175,1.1,100,20,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,400,0
1,-0.450364986,0.924,-0.440333804,0.9135,4.1,100,50,<class 'keras.optimizers.RMSprop'>,80,<function selu at 0x00000229C8B63EA0>,400,2
1,-0.432623165,0.9075,-0.42780414,0.9035,7.1,100,20,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,100,1
1,-0.470310512,0.9415,-0.461004272,0.9265,1.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function relu at 0x00000229C8B740D0>,200,1
1,-0.446190933,0.91325,-0.4388202,0.901,7.1,100,50,<class 'keras.optimizers.Nadam'>,80,<function selu at 0x00000229C8B63EA0>,100,0
1,-0.44663193,0.929,-0.438511369,0.92025,5.1,100,50,<class 'keras.optimizers.RMSprop'>,40,<function relu at 0x00000229C8B740D0>,300,2
1,-0.446215078,0.922,-0.436784849,0.9075,4.1,100,50,<class 'keras.optimizers.RMSprop'>,10,<function selu at 0x00000229C8B63EA0>,400,1
1,-0.45029662,0.92425,-0.442770126,0.91325,1.1,100,50,<class 'keras.optimizers.Nadam'>,80,<function elu at 0x00000229C8B63E18>,200,2
1,-0.451821345,0.90425,-0.444374627,0.894,4.1,100,20,<class 'keras.optimizers.Adam'>,80,<function elu at 0x00000229C8B63E18>,200,2
1,-0.452452266,0.89675,-0.442778224,0.8805,7.1,100,100,<class 'keras.optimizers.Nadam'>,20,<function elu at 0x00000229C8B63E18>,300,2
1,-0.439579993,0.9035,-0.436901086,0.88925,0.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,400,0
1,-0.449848723,0.9115,-0.440058171,0.903,5.1,100,50,<class 'keras.optimizers.RMSprop'>,10,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.449498943,0.922,-0.440856283,0.91275,3.1,100,20,<class 'keras.optimizers.Nadam'>,80,<function relu at 0x00000229C8B740D0>,400,2
1,-0.437991344,0.92425,-0.432547564,0.911,3.1,100,50,<class 'keras.optimizers.Adam'>,20,<function elu at 0x00000229C8B63E18>,100,0
1,-0.423899544,0.8875,-0.418080071,0.87925,3.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,200,1
1,-0.455932371,0.9235,-0.447947124,0.9115,1.1,100,100,<class 'keras.optimizers.Nadam'>,10,<function relu at 0x00000229C8B740D0>,200,1
1,-0.457642397,0.9325,-0.448293653,0.92125,1.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function relu at 0x00000229C8B740D0>,100,1
1,-0.448386721,0.96125,-0.441303481,0.9515,0.1,100,50,<class 'keras.optimizers.Adam'>,40,<function relu at 0x00000229C8B740D0>,100,2
1,-0.452991488,0.9095,-0.444362607,0.89675,5.1,100,100,<class 'keras.optimizers.Nadam'>,10,<function relu at 0x00000229C8B740D0>,300,1
1,-0.395545629,0.951,-0.388328329,0.94075,3.1,100,20,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,200,0
1,-0.374600712,0.9175,-0.366408547,0.907,0.1,100,20,<class 'keras.optimizers.RMSprop'>,80,<function elu at 0x00000229C8B63E18>,300,0
1,-0.445274939,0.92125,-0.437021503,0.91375,5.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,200,0
1,-0.442933201,0.85525,-0.433750533,0.839,5.1,100,100,<class 'keras.optimizers.Nadam'>,10,<function elu at 0x00000229C8B63E18>,400,2
1,-0.446393064,0.906,-0.438534604,0.901,6.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,100,1
1,-0.445072345,0.91725,-0.437812619,0.9075,0.1,100,50,<class 'keras.optimizers.Adam'>,20,<function relu at 0x00000229C8B740D0>,100,2
1,-0.431706847,0.9295,-0.422807583,0.9175,7.1,100,20,<class 'keras.optimizers.Adam'>,20,<function selu at 0x00000229C8B63EA0>,300,1
1,-0.436654172,0.91125,-0.428689329,0.89775,2.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function elu at 0x00000229C8B63E18>,200,0
1,-0.454028477,0.91125,-0.448441052,0.9025,0.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function elu at 0x00000229C8B63E18>,100,0
1,-0.439195082,0.909,-0.432012009,0.89575,4.1,100,100,<class 'keras.optimizers.Adam'>,20,<function selu at 0x00000229C8B63EA0>,200,1
