round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor,dropout
1,20.88568706512451,0.9725,22.294229171752928,0.96075,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,23.273819549560546,0.899,25.090992416381837,0.87975,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,22.355480682373045,0.9355,24.293221702575682,0.91875,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,23.315239891052247,0.8935,25.10347283935547,0.877,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.88470524597168,0.96925,22.339137313842773,0.954,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.42816362762451,0.98125,21.239362747192384,0.973,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,21.012911209106445,0.97425,22.026593978881834,0.96275,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,21.46856783294678,0.96025,22.73744329071045,0.9475,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,20.776903373718262,0.97925,21.664282455444337,0.968,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,20.671659004211424,0.981,21.437443214416504,0.9725,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,20.08942335510254,0.987,20.863485710144044,0.97775,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,23.204529296875,0.914,24.74098777770996,0.89275,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,23.177548248291014,0.90425,25.031176635742188,0.89025,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
